SalePrice,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
169277.0524984,1461,20,RH,80.0,11622,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,Stone,1.0,TA,TA,CBlock,TA,TA,No,Rec,468,LwQ,144,270.0,882,GasA,TA,Y,SBrkr,896,1,1,896,1,1,1,1,2,1,TA,5,Typ,1,Po,Attchd,1961,Unf,1.0,730.0,TA,TA,Y,140,1,1,1,120,1,Gd,MnPrv,Othr,1,6,2010,WD,Normal
187758.393988768,1462,20,RL,81.0,14267,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,TA,TA,CBlock,TA,TA,No,ALQ,923,Unf,1,406.0,1329,GasA,TA,Y,SBrkr,1329,1,1,1329,1,1,1,1,3,1,Gd,6,Typ,1,TA,Attchd,1958,Unf,1.0,312.0,TA,TA,Y,393,36,1,1,1,1,Gd,MnWw,Gar2,12500,6,2010,WD,Normal
183583.683569555,1463,60,RL,74.0,13830,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,Stone,1.0,TA,TA,PConc,Gd,TA,No,GLQ,791,Unf,1,137.0,928,GasA,Gd,Y,SBrkr,928,701,1,1629,1,1,2,1,3,1,TA,6,Typ,1,TA,Attchd,1997,Fin,2.0,482.0,TA,TA,Y,212,34,1,1,1,1,Ex,MnPrv,Gar2,1,3,2010,WD,Normal
179317.47751083,1464,60,RL,78.0,9978,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,TA,TA,PConc,TA,TA,No,GLQ,602,Unf,1,324.0,926,GasA,Ex,Y,SBrkr,926,678,1,1604,1,1,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,1998,Fin,2.0,470.0,TA,TA,Y,360,36,1,1,1,1,Ex,GdWo,Shed,1,6,2010,WD,Normal
150730.079976501,1465,120,RL,43.0,5005,Pave,Grvl,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,Stone,1.0,Gd,TA,PConc,Gd,TA,No,ALQ,263,Unf,1,1017.0,1280,GasA,Ex,Y,SBrkr,1280,1,1,1280,1,1,2,1,2,1,Gd,5,Typ,1,Po,Attchd,1992,RFn,2.0,506.0,TA,TA,Y,1,82,1,1,144,1,Gd,MnWw,Othr,1,1,2010,WD,Normal
177150.989247307,1466,60,RL,75.0,10000,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,Stone,1.0,TA,TA,PConc,Gd,TA,No,Unf,1,Unf,1,763.0,763,GasA,Gd,Y,SBrkr,763,892,1,1655,1,1,2,1,3,1,TA,7,Typ,1,TA,Attchd,1993,Fin,2.0,440.0,TA,TA,Y,157,84,1,1,1,1,Gd,GdPrv,Othr,1,4,2010,WD,Normal
172070.659229164,1467,20,RL,62.0,7980,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,Stone,1.0,TA,Gd,PConc,Gd,TA,No,ALQ,935,Unf,1,233.0,1168,GasA,Ex,Y,SBrkr,1187,1,1,1187,1,1,2,1,3,1,TA,6,Typ,1,Fa,Attchd,1992,Fin,2.0,420.0,TA,TA,Y,483,21,1,1,1,1,Ex,GdPrv,Shed,500,3,2010,WD,Normal
175110.956519547,1468,60,RL,63.0,8402,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkCmn,1.0,TA,TA,PConc,Gd,TA,No,Unf,1,Unf,1,789.0,789,GasA,Gd,Y,SBrkr,789,676,1,1465,1,1,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1998,Fin,2.0,393.0,TA,TA,Y,1,75,1,1,1,1,Gd,MnPrv,Shed,1,5,2010,WD,Normal
162011.698831665,1469,20,RL,85.0,10176,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,1.0,TA,TA,PConc,Gd,TA,Gd,GLQ,637,Unf,1,663.0,1300,GasA,Gd,Y,SBrkr,1341,1,1,1341,1,1,1,1,2,1,Gd,5,Typ,1,Po,Attchd,1990,Unf,2.0,506.0,TA,TA,Y,192,1,1,1,1,1,Ex,MnPrv,Othr,1,2,2010,WD,Normal
160726.247831419,1470,20,RL,70.0,8400,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,BrkCmn,1.0,TA,TA,CBlock,TA,TA,No,ALQ,804,Rec,78,1.0,882,GasA,TA,Y,SBrkr,882,1,1,882,1,1,1,1,2,1,TA,4,Typ,1,Ex,Attchd,1970,Fin,2.0,525.0,TA,TA,Y,240,1,1,1,1,1,Ex,MnPrv,Shed,1,4,2010,WD,Normal
